objectid,title,attribution,medium,classification,subclassification,beginyear,endyear,depictstmsobjectid,iiifurl,iiifthumburl,openaccess
3207,Jane Cutler Doane,American 18th Century,oil on canvas,Painting,,1783.0,1783.0,3207,https://api.nga.gov/iiif/658a6c69-1836-48f4-8706-757e7e1cdf3c,"https://api.nga.gov/iiif/658a6c69-1836-48f4-8706-757e7e1cdf3c/full/!200,200/0/default.jpg",1
50533,Four Goo-a-give Indians,George Catlin,oil on card mounted on paperboard,Painting,,1854.0,1869.0,50533,https://api.nga.gov/iiif/e33b7c36-81c3-438a-ae75-5323bac13cd4,"https://api.nga.gov/iiif/e33b7c36-81c3-438a-ae75-5323bac13cd4/full/!200,200/0/default.jpg",1
214133,"Peaches, Grapes, and Apples",Severin Roesen,oil on wood,Painting,,1816.0,1872.0,214133,https://api.nga.gov/iiif/d98e041f-d7b8-4dd0-9b62-35965df834af,"https://api.nga.gov/iiif/d98e041f-d7b8-4dd0-9b62-35965df834af/full/!200,200/0/default.jpg",1
89,Portrait of a Young Man,Follower of Diego Velázquez,oil on canvas,Painting,,1650.0,1650.0,89,https://api.nga.gov/iiif/1bd606b9-f58c-4d40-8514-f53c63e37dbd,"https://api.nga.gov/iiif/1bd606b9-f58c-4d40-8514-f53c63e37dbd/full/!200,200/0/default.jpg",1
59928,Catalyntje Post,American 18th Century,oil on canvas,Painting,,1747.0,1747.0,59928,https://api.nga.gov/iiif/627c6909-e636-458b-978f-5e88db2bb3e3,"https://api.nga.gov/iiif/627c6909-e636-458b-978f-5e88db2bb3e3/full/!200,200/0/default.jpg",1
41670,The Resurrection,Benvenuto di Giovanni,tempera on panel,Painting,,1491.0,1491.0,41670,https://api.nga.gov/iiif/f1218b9a-8b6d-4936-9fd9-3066f1951443,"https://api.nga.gov/iiif/f1218b9a-8b6d-4936-9fd9-3066f1951443/full/!200,200/0/default.jpg",1
50538,Four Macouchi Indians,George Catlin,oil on card mounted on paperboard,Painting,,1854.0,1869.0,50538,https://api.nga.gov/iiif/d1d920f3-e25e-4c45-ab4b-2e15b0edabd5,"https://api.nga.gov/iiif/d1d920f3-e25e-4c45-ab4b-2e15b0edabd5/full/!200,200/0/default.jpg",1
12,The Adoration of the Magi,Benvenuto di Giovanni,tempera on poplar panel,Painting,,1470.0,1475.0,12,https://api.nga.gov/iiif/c747c66d-a38d-4cdc-a0a3-9c55930303b8,"https://api.nga.gov/iiif/c747c66d-a38d-4cdc-a0a3-9c55930303b8/full/!200,200/0/default.jpg",1
1114,Stephen Van Rensselaer III,Gilbert Stuart,oil on canvas,Painting,,1793.0,1795.0,1114,https://api.nga.gov/iiif/075d4a9e-2a3a-4336-bd74-84b7e1c357b1,"https://api.nga.gov/iiif/075d4a9e-2a3a-4336-bd74-84b7e1c357b1/full/!200,200/0/default.jpg",1
46028,Saint Sebastian Succored by the Holy Women,Jean-Baptiste-Camille Corot,oil on canvas,Painting,,1874.0,1874.0,46028,https://api.nga.gov/iiif/626453f8-e7b0-453c-a0f4-ff7d21a0f2a3,"https://api.nga.gov/iiif/626453f8-e7b0-453c-a0f4-ff7d21a0f2a3/full/!200,200/0/default.jpg",1
46181,Madonna and Child Appearing to Saint Philip Neri,Giovanni Battista Piazzetta,oil on canvas,Painting,,1725.0,1725.0,46181,https://api.nga.gov/iiif/ab699663-84d5-4b25-a392-061bc992b30f,"https://api.nga.gov/iiif/ab699663-84d5-4b25-a392-061bc992b30f/full/!200,200/0/default.jpg",1
50348,Facsimile of a Cheyenne Robe,George Catlin,oil on card mounted on paperboard,Painting,,1861.0,1869.0,50348,https://api.nga.gov/iiif/2061b7ed-0e95-49ca-854c-cd9856858d20,"https://api.nga.gov/iiif/2061b7ed-0e95-49ca-854c-cd9856858d20/full/!200,200/0/default.jpg",1
178145,Hillside at Étretat,George Inness,oil on canvas,Painting,,1876.0,1876.0,178145,https://api.nga.gov/iiif/7a6e9543-98a0-481f-a9ef-c5abbb0d3103,"https://api.nga.gov/iiif/7a6e9543-98a0-481f-a9ef-c5abbb0d3103/full/!200,200/0/default.jpg",1
178141,Washington before Yorktown,Rembrandt Peale,oil on canvas,Painting,,1824.0,1825.0,178141,https://api.nga.gov/iiif/990b6b8d-118e-4302-83b9-9a6e184515e4,"https://api.nga.gov/iiif/990b6b8d-118e-4302-83b9-9a6e184515e4/full/!200,200/0/default.jpg",1
166457,"Grace Allison McCurdy (Mrs. Hugh McCurdy) and Her Daughters, Mary Jane and Letitia Grace",Joshua Johnson,oil on canvas,Painting,,1806.0,1806.0,166457,https://api.nga.gov/iiif/9693cf05-1a96-4da7-ab21-dfa2f10e81b6,"https://api.nga.gov/iiif/9693cf05-1a96-4da7-ab21-dfa2f10e81b6/full/!200,200/0/default.jpg",1
50476,Three Esquimaux,George Catlin,oil on card mounted on paperboard,Painting,,1855.0,1869.0,50476,https://api.nga.gov/iiif/3bb66a1d-6b79-4a63-b397-a300ac41b6e1,"https://api.nga.gov/iiif/3bb66a1d-6b79-4a63-b397-a300ac41b6e1/full/!200,200/0/default.jpg",1
125748,Harvest Scene in the Delaware Valley,George Inness,oil on canvas,Painting,,1867.0,1867.0,125748,https://api.nga.gov/iiif/11dc7010-58a3-465a-8134-7a08a563294a,"https://api.nga.gov/iiif/11dc7010-58a3-465a-8134-7a08a563294a/full/!200,200/0/default.jpg",1
133023,Head of an Old Man,Abraham Bloemaert,oil on panel,Painting,,1625.0,1628.0,133023,https://api.nga.gov/iiif/c5ad51e9-e75b-4c88-905d-66917ad1498e,"https://api.nga.gov/iiif/c5ad51e9-e75b-4c88-905d-66917ad1498e/full/!200,200/0/default.jpg",1
50595,Mauhees Encampment,George Catlin,oil on card mounted on paperboard,Painting,,1854.0,1869.0,50595,https://api.nga.gov/iiif/a5f323a9-6eff-4998-b399-afff8aae3db4,"https://api.nga.gov/iiif/a5f323a9-6eff-4998-b399-afff8aae3db4/full/!200,200/0/default.jpg",1
42465,Little Miss Wyckoff,American 19th Century,oil on canvas,Painting,,1830.0,1830.0,42465,https://api.nga.gov/iiif/24b64a11-237c-4f39-9943-4956297b6923,"https://api.nga.gov/iiif/24b64a11-237c-4f39-9943-4956297b6923/full/!200,200/0/default.jpg",1
69367,God the Father,Circle of Pierre Mignard I,oil on canvas,Painting,,1664.0,1664.0,69367,https://api.nga.gov/iiif/ab72c222-5584-4d50-a5a5-f1cbf20fc67c,"https://api.nga.gov/iiif/ab72c222-5584-4d50-a5a5-f1cbf20fc67c/full/!200,200/0/default.jpg",1
42853,"Marina Piccola, Capri",William Stanley Haseltine,oil on paper on canvas,Painting,,1858.0,1858.0,42853,https://api.nga.gov/iiif/07875217-5820-4a95-afbe-8056a8b60742,"https://api.nga.gov/iiif/07875217-5820-4a95-afbe-8056a8b60742/full/!200,200/0/default.jpg",1
32678,Lodovico Widmann,Tiberio Tinelli,oil on canvas,Painting,,1637.0,1637.0,32678,https://api.nga.gov/iiif/8f492ff3-8a7d-455f-bfbc-538684d9128b,"https://api.nga.gov/iiif/8f492ff3-8a7d-455f-bfbc-538684d9128b/full/!200,200/0/default.jpg",1
91389,"Dishes with Oysters, Fruit, and Wine",Osias Beert the Elder,oil on panel,Painting,,1615.0,1625.0,91389,https://api.nga.gov/iiif/d345149c-3d2d-4ffa-84ce-1c9f788244fc,"https://api.nga.gov/iiif/d345149c-3d2d-4ffa-84ce-1c9f788244fc/full/!200,200/0/default.jpg",1
50838,Anne Fairchild Bowler (Mrs. Metcalf Bowler),John Singleton Copley,oil on canvas,Painting,,1763.0,1763.0,50838,https://api.nga.gov/iiif/eddc41f9-a570-4408-a046-7d8bde0f1fe4,"https://api.nga.gov/iiif/eddc41f9-a570-4408-a046-7d8bde0f1fe4/full/!200,200/0/default.jpg",1
1168,Portrait of a Gentleman,Frans Hals,oil on canvas,Painting,,1650.0,1652.0,1168,https://api.nga.gov/iiif/b4040d59-d7aa-4748-b785-9fb5d7041e44,"https://api.nga.gov/iiif/b4040d59-d7aa-4748-b785-9fb5d7041e44/full/!200,200/0/default.jpg",1
33246,Portrait of a Man,Follower of Alessandro Longhi,oil on canvas,Painting,,1733.0,1813.0,33246,https://api.nga.gov/iiif/8562ad10-d3f4-4908-9d4a-1e787e6ae6e6,"https://api.nga.gov/iiif/8562ad10-d3f4-4908-9d4a-1e787e6ae6e6/full/!200,200/0/default.jpg",1
46680,Diana,Auguste Renoir,oil on canvas,Painting,,1867.0,1867.0,46680,https://api.nga.gov/iiif/3ebc1c6d-6ab0-403d-bc31-e1a27ebc443e,"https://api.nga.gov/iiif/3ebc1c6d-6ab0-403d-bc31-e1a27ebc443e/full/!200,200/0/default.jpg",1
45641,Mount Auburn Cemetery,Thomas Chambers,oil on canvas,Painting,,1825.0,1874.0,45641,https://api.nga.gov/iiif/c3739ea0-64a5-42bc-b803-2db02a469fad,"https://api.nga.gov/iiif/c3739ea0-64a5-42bc-b803-2db02a469fad/full/!200,200/0/default.jpg",1
178273,Harvest Moon,George Inness,oil on canvas,Painting,,1891.0,1891.0,178273,https://api.nga.gov/iiif/2e5a816f-77e1-4ea1-9774-ddd3b90496ba,"https://api.nga.gov/iiif/2e5a816f-77e1-4ea1-9774-ddd3b90496ba/full/!200,200/0/default.jpg",1
50826,Stylized Landscape,American 19th Century,oil on canvas,Painting,,1850.0,1899.0,50826,https://api.nga.gov/iiif/e7c01642-850e-45fa-9113-7c5613029220,"https://api.nga.gov/iiif/e7c01642-850e-45fa-9113-7c5613029220/full/!200,200/0/default.jpg",1
50883,An Architectural Fantasy,Jan van der Heyden,oil on oak panel,Painting,,1670.0,1670.0,50883,https://api.nga.gov/iiif/dc7a3202-71c4-4e1a-ad6e-db7772d2084a,"https://api.nga.gov/iiif/dc7a3202-71c4-4e1a-ad6e-db7772d2084a/full/!200,200/0/default.jpg",1
59916,Baby in Wicker Basket,Joseph Whiting Stock,oil on canvas,Painting,,1840.0,1840.0,59916,https://api.nga.gov/iiif/243882c6-c500-409e-8a5b-2a8bf5525b8e,"https://api.nga.gov/iiif/243882c6-c500-409e-8a5b-2a8bf5525b8e/full/!200,200/0/default.jpg",1
1189,Madonna and Child,Follower of Fra Filippo Lippi and Pesellino,tempera on poplar panel,Painting,,1470.0,1470.0,1189,https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b,"https://api.nga.gov/iiif/f2087521-95a8-42e9-b383-712221c3b31b/full/!200,200/0/default.jpg",1
195490,Old House at East Hampton,Childe Hassam,oil on canvas,Painting,,1916.0,1916.0,195490,https://api.nga.gov/iiif/feacc066-4ff8-417c-b2be-f38de838e530,"https://api.nga.gov/iiif/feacc066-4ff8-417c-b2be-f38de838e530/full/!200,200/0/default.jpg",1
46623,Brittany Landscape,Paul Gauguin,oil on canvas,Painting,,1888.0,1888.0,46623,https://api.nga.gov/iiif/931a47ee-9891-4040-a5f0-0308c4e4c2c2,"https://api.nga.gov/iiif/931a47ee-9891-4040-a5f0-0308c4e4c2c2/full/!200,200/0/default.jpg",1
50543,Five Iquito Indians,George Catlin,oil on card mounted on paperboard,Painting,,1854.0,1869.0,50543,https://api.nga.gov/iiif/4e195984-eab1-4eff-a064-58d30ca8fc64,"https://api.nga.gov/iiif/4e195984-eab1-4eff-a064-58d30ca8fc64/full/!200,200/0/default.jpg",1
34061,William Rogers,John Trumbull,oil on canvas,Painting,,1804.0,1808.0,34061,https://api.nga.gov/iiif/968ea81d-95f1-4c38-9e68-962575252b3b,"https://api.nga.gov/iiif/968ea81d-95f1-4c38-9e68-962575252b3b/full/!200,200/0/default.jpg",1
111124,River Landscape,Jan Brueghel the Elder,oil on copper,Painting,,1607.0,1607.0,111124,https://api.nga.gov/iiif/0ef454d7-7988-4044-81e3-38daf8dbf70e,"https://api.nga.gov/iiif/0ef454d7-7988-4044-81e3-38daf8dbf70e/full/!200,200/0/default.jpg",1
76207,Basket of Fruits,Balthasar van der Ast,oil on panel,Painting,,1622.0,1622.0,76207,https://api.nga.gov/iiif/6b98db43-3aba-41b0-9b4a-a13ec1cfaf14,"https://api.nga.gov/iiif/6b98db43-3aba-41b0-9b4a-a13ec1cfaf14/full/!200,200/0/default.jpg",1
