objectid,title,classification,iiifurl,iiifthumburl,openaccess,portrait_like
66407,Woman Reading in the Studio,Painting,https://api.nga.gov/iiif/85d40b25-aef8-4586-829e-1b1d51203ff7,"https://api.nga.gov/iiif/85d40b25-aef8-4586-829e-1b1d51203ff7/full/!200,200/0/default.jpg",1,True
66409,Woman Viewed from Behind (Visit to a Museum),Painting,https://api.nga.gov/iiif/444872bf-10fa-467d-aac1-9bd948028f35,"https://api.nga.gov/iiif/444872bf-10fa-467d-aac1-9bd948028f35/full/!200,200/0/default.jpg",1,True
66413,"Study for ""The Dancing Lesson"": The Boy",Painting,https://api.nga.gov/iiif/fe3e5fc8-c028-4099-aacf-c96e806715c6,"https://api.nga.gov/iiif/fe3e5fc8-c028-4099-aacf-c96e806715c6/full/!200,200/0/default.jpg",1,True
66418,Self-Portrait Dedicated to Carrière,Painting,https://api.nga.gov/iiif/315ba511-cff8-4cc9-bb69-cab94ecfe4c4,"https://api.nga.gov/iiif/315ba511-cff8-4cc9-bb69-cab94ecfe4c4/full/!200,200/0/default.jpg",1,True
66427,A Creek in St. Thomas (Virgin Islands),Painting,https://api.nga.gov/iiif/b1461d28-88d4-4aee-88dd-a78d368308ff,"https://api.nga.gov/iiif/b1461d28-88d4-4aee-88dd-a78d368308ff/full/!200,200/0/default.jpg",1,True
66434,"Child with Toys - Gabrielle and the Artist's Son, Jean",Painting,https://api.nga.gov/iiif/594b2f21-2660-4a52-9c8e-599eb52c9079,"https://api.nga.gov/iiif/594b2f21-2660-4a52-9c8e-599eb52c9079/full/!200,200/0/default.jpg",1,True
69387,Madonna and Child,Painting,https://api.nga.gov/iiif/7461a784-1032-41f4-a0b2-8d1e1815facd,"https://api.nga.gov/iiif/7461a784-1032-41f4-a0b2-8d1e1815facd/full/!200,200/0/default.jpg",1,True
69592,Elizabeth Virginia Laning Bradner Smith (Mrs. George Cotton Smith),Painting,https://api.nga.gov/iiif/c9b39027-5b86-43d4-ac30-980475329d7e,"https://api.nga.gov/iiif/c9b39027-5b86-43d4-ac30-980475329d7e/full/!200,200/0/default.jpg",1,True
71550,Sainte-Adresse,Painting,https://api.nga.gov/iiif/579777b9-33fb-493e-8e2c-89b972019854,"https://api.nga.gov/iiif/579777b9-33fb-493e-8e2c-89b972019854/full/!200,200/0/default.jpg",1,True
71588,"U.S. Thread Company Mills, Willimantic, Connecticut",Painting,https://api.nga.gov/iiif/b587fc1c-9778-425a-9914-7d03cc5fad23,"https://api.nga.gov/iiif/b587fc1c-9778-425a-9914-7d03cc5fad23/full/!200,200/0/default.jpg",1,True
